_id,YEAR,GEOGRAPHY,IMMIGRANT,TYPE OF WORK,WAGE RATE,EDUCATION,AGE GROUP,Both sexes,Men,Women
131,2006,Canada,Total, Part-time,  Median hourly wage,  Above bachelor's degree,15 +,25,25,25.7
132,2006,Canada,Total, Part-time,  Median hourly wage,  Above bachelor's degree,25 +,25.8,25,26
133,2006,Canada,Total, Part-time,  Median hourly wage,  Above bachelor's degree,25 - 34,21.4,20,22
134,2006,Canada,Total, Part-time,  Median hourly wage,  Above bachelor's degree,25 - 54,25,21.9,25.8
135,2006,Canada,Total, Part-time,  Median hourly wage,  Above bachelor's degree,25 - 64,25.6,24,26.3
136,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,"Total, all education levels",15 +,17,18.8,15
137,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,"Total, all education levels",25 +,17.8,20,16
138,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,"Total, all education levels",25 - 34,16,17.3,14.8
139,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,"Total, all education levels",25 - 54,17.5,19.5,15.7
140,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,"Total, all education levels",25 - 64,17.9,20,16
141,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, 0 - 8 years,15 +,12.5,14.9,10.8
142,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, 0 - 8 years,25 +,12.5,15,10.9
143,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, 0 - 8 years,25 - 34,12.5,13,11.5
144,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, 0 - 8 years,25 - 54,12.1,15,10.9
145,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, 0 - 8 years,25 - 64,12.5,15,10.9
146,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some high school,15 +,12,13.5,11
147,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some high school,25 +,14,15.4,12
148,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some high school,25 - 34,13,13.8,11
149,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some high school,25 - 54,13.8,15.3,12
150,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some high school,25 - 64,14,15.4,12.1
151,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, High school graduate,15 +,14,15.8,12.5
152,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, High school graduate,25 +,15,17,13
153,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, High school graduate,25 - 34,13,16,11
154,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, High school graduate,25 - 54,15,16.9,12.5
155,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, High school graduate,25 - 64,15,17,13
156,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some post-secondary,15 +,13,14,12
157,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some post-secondary,25 +,16.6,18,14.5
158,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some post-secondary,25 - 34,14,15,13
159,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some post-secondary,25 - 54,16,18,14.3
160,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Some post-secondary,25 - 64,16.8,18.5,14.9
161,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Post-secondary certificate or diploma,15 +,17.3,19.2,16
162,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Post-secondary certificate or diploma,25 +,17.9,20,16.4
163,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Post-secondary certificate or diploma,25 - 34,15.4,17,14.3
164,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Post-secondary certificate or diploma,25 - 54,17.4,19.5,16
165,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, Post-secondary certificate or diploma,25 - 64,17.9,20,16.4
166,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, University degree,15 +,22.5,25,20.2
167,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, University degree,25 +,23,25,20.5
168,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, University degree,25 - 34,19.2,21.1,18
169,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, University degree,25 - 54,22.1,24,20
170,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage, University degree,25 - 64,23.1,25,20.7
171,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,  Bachelor's degree,15 +,20.7,22.6,19
172,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,  Bachelor's degree,25 +,21,23.1,19.2
173,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,  Bachelor's degree,25 - 34,18.7,20,17
174,2006,Canada, Total Landed Immigrants,All employees,  Median hourly wage,  Bachelor's degree,25 - 54,20.7,22.6,19
